"개방시설명",개방장소명,개방시설유형구분,휴관일,평일운영시작시각,평일운영종료시각,주말운영시작시각,주말운영종료시각,유료사용여부,사용기준시간,사용료,초과사용단위시간,초과사용료,수용가능인원수,면적,부대시설정보,신청방법구분,시설사진정보,소재지도로명주소,관리기관명,담당부서명,사용안내전화번호,홈페이지주소,위도,경도,데이터기준일자
"광주광역시 과학기술교류협력센터 소회의실 (2F)",광주광역시 과학기술교류협력센터,회의실,없음,09:00,20:00,09:00,18:00,Y,2,165000,1,33000,14,60,"음향, 빔프로젝트, 정수기, 냉난방, 조명, 주차장","인터넷,전화,방문",,광주광역시 북구 첨단과기로 339,과학기술교류협력센터,교류센터,062-609-0500,,35.2293260,126.8618778,2015-09-18
"광주광역시 빛고을시민문화관 다목적실",광주광역시 빛고을시민문화관,회의실,없음,09:00,22:00,09:00,22:00,Y,,,,,108,163,"음향, 빔프로젝트, 냉난방, 주차장","Fax, 방문",,광주광역시 동구 천변좌로338번길 7,빛고을시민문화관,공연전시팀,062-670-7941,,35.1478588,126.9078984,2015-09-18
"광주광역시 동구청 민방위교육장",광주광역시 동구청,회의실,"매주 토,일요일, 법정 공휴일",09:00,18:00,00:00,00:00,N,,,,,200,694,"음향, 빔프로젝트, 냉난방, 조명 주차장",방문,,광주광역시 동구 서남로 1,광주광역시 동구청,민방위계,062-608-3043,,35.1458272,126.9233266,2015-09-18
"광주광역시 동구국민체육센터 다목적실",광주광역시 동구국민체육센터,회의실,"매월 둘째주, 넷째주 일요일",09:00,18:00,09:00,18:00,Y,,,,,100,176,"주차장, 카페, 테이블, 의자",방문,,광주광역시 동구 필문대로 205번길 17,광주광역시 동구청,동구국민체육센터,062-351-0076,,35.1524682,126.9329608,2015-09-18
"광주광역시 동구 학운동 작은도서관 다목적실",광주광역시 동구 학운동 작은도서관,회의실,"매월 첫째주, 셋째주 월요일",09:00,18:00,09:00,17:00,N,,,,,10,10,"DVD플레이어, TV, 테이블 5개, 의자 10개","전화, 방문",,광주광역시 동구 의재로 43번길 27-3,광주광역시 동구청,학운동 작은도서관,062-608-3921,,35.1329942,126.9347544,2015-09-18
"광주광역시 동구 지산2동 작은도서관 다목적실",광주광역시 동구 지산2동 작은도서관,회의실,"매월 첫째주, 셋째주 월요일",09:00,18:00,09:00,17:00,N,,,,,10,9,"테이블 1개, 의자 10개","전화, 방문",,광주광역시 동구 밤실로4번길 16,광주광역시 동구청,지산2동 작은도서관,062-225-2123,,35.1484263,126.9384910,2015-09-18
"광주광역시 동구 지원2동 작은도서관 다목적실",광주광역시 동구 지원2동 작은도서관,회의실,"매월 첫째주, 셋째주 월요일",09:00,18:00,09:00,17:00,N,,,,,15,10,"테이블 1개, 의자 15개, 냉난방","전화, 방문",,광주광역시 동구 화산로 361,광주광역시 동구청,지원2동 작은도서관,062-608-3922,,35.1204519,126.9328728,2015-09-18
"광주광역시 동구 청소년수련관 다목적실",광주광역시 동구 청소년수련관,회의실,"매주 월요일, 법정 공휴일",09:00,21:00,09:00,18:00,Y,3,10000,1,2000,50,85,"음향, 빔프로젝트, 냉난방, 조명","전화, 방문",,광주광역시 동구 의재로43번길 27-3,광주광역시 동구청,동구청소년수련관,062-223-7224,,35.1329942,126.9347544,2015-09-18
"광주광역시 동구 청소년수련관 소회의실",광주광역시 동구 청소년수련관,회의실,"매주 월요일, 법정 공휴일",09:00,21:00,09:00,18:00,Y,3,30000,1,6000,75,140,"음향, 냉난방, 조명","전화, 방문",,광주광역시 동구 의재로43번길 27-3,광주광역시 동구청,동구청소년수련관,062-223-7225,,35.1329942,126.9347544,2015-09-18
"광주광역시 동구 동명동 주민커뮤니티센터 사랑방",광주광역시 동구 동명동 주민커뮤니티센터,회의실,"매주 토,일요일, 법정 공휴일",09:00,18:00,00:00,00:00,N,,,,,20,47,"화이트보드, 테이블, 의자, 냉난방, 주차장","전화, 방문",,광주광역시 동구 동명로20번길 43-5,동명동주민커뮤니티센터,동명동주민커뮤니티센터,062-223-2662,,35.1503444,126.9279435,2015-09-18
"광주광역시 동구 충장동 주민센터 다목적회의실",광주광역시 동구 충장동 주민센터,회의실,"매주 토,일요일, 법정 공휴일",13:00,18:00,00:00,00:00,N,,,,,20,112,냉난방,"전화, 방문",,광주광역시 동구 금남로 231,충장동주민센터,충장동주민센터,062-608-3505,,35.1490843,126.9177087,2015-09-18
"광주광역시 동구 계림1동 주민센터 소회의실",광주광역시 동구 계림1동 주민센터,회의실,"매주 토,일요일, 법정 공휴일",10:00,16:00,00:00,00:00,N,,,,,30,32,"음향, 회의탁자, 냉난방, 조명","전화, 방문",,광주광역시 동구 경양로247번길 26,계림1동주민센터,계림1동주민센터,062-608-3565,,35.1585024,126.9196715,2015-09-18
"광주광역시 동구 계림2동 주민센터 회의실",광주광역시 동구 계림2동 주민센터,회의실,법정 공휴일,18:00,20:00,09:00,12:00,N,,,,,50,153,"음향, 냉난방, 조명","전화, 방문",,광주광역시 동구 중앙로272번길 37,계림2동주민센터,계림2동주민센터,062-608-3590,,35.1580273,126.9234074,2015-09-18
"광주광역시 동구 지산2동 주민센터 소회의실",광주광역시 동구 지산2동 주민센터,회의실,"매주 토,일요일, 법정 공휴일",10:00,17:00,00:00,00:00,N,,,,,20,210,"TV, 음향, 냉난방","전화, 방문",,광주광역시 동구 지호로 51,지산2동주민센터,지산2동주민센터,062-608-3714,,35.1479133,126.9344711,2015-09-18
"광주광역시 서구 화정1동 주민센터 회의실",광주광역시 서구 화정1동 주민센터,회의실,"매주 토,일요일, 법정 공휴일",09:00,18:00,00:00,00:00,N,,,,,25,257,"음향, 냉난방, 테이블, 의자, 주차장","전화, 방문",,광주광역시 서구 내방로338번길 11,화정1동주민센터,화정1동주민센터,062-350-4395,,35.1563319,126.8777353,2015-09-18
"광주광역시 서구 금호1동 주민센터 회의실(2층)",광주광역시 서구 금호1동 주민센터,회의실,"매주 토,일요일, 법정 공휴일",09:00,20:00,00:00,00:00,N,,,,,50,200,"음향, 빔프로젝트, 냉난방","전화, 방문",,광주광역시 서구 운천로31번길 17,금호1동주민센터,금호1동주민센터,062-350-4484,,35.1351612,126.8571889,2015-09-18
"광주광역시 서구 금호1동 주민센터 회의실(3층)",광주광역시 서구 금호1동 주민센터,회의실,"매주 토,일요일, 법정 공휴일",09:00,20:00,00:00,00:00,N,,,,,20,65,"음향, 냉난방","전화, 방문",,광주광역시 서구 운천로31번길 17,금호1동주민센터,금호1동주민센터,062-350-4484,,35.1351612,126.8571889,2015-09-18
"광주광역시 서구 서창동 주민센터 대회의실",광주광역시 서구 서창동 주민센터,회의실,"매주 토,일요일, 법정 공휴일",10:00,20:00,00:00,00:00,N,,,,,80,185,"음향, 냉난방, 조명, 주차장","전화,방문",,광주광역시 서구 눌재로 412,서창동주민센터,서창동주민센터,062-350-4463,,35.1145216,126.8302885,2015-09-18
"광주광역시 서구 광천동 주민센터 회의실",광주광역시 서구 광천동 주민센터,회의실,"매주 토,일요일, 법정 공휴일",09:00,18:00,00:00,00:00,N,,,,,80,180,"음향, 빔프로젝트, 냉난방, 주차장","전화, 방문",,광주광역시 서구 광천2길 9,광천동주민센터,광천동주민센터,062-350-4283,,35.1644001,126.8802556,2015-09-18
"광주광역시 서구 금호2동 주민센터 대회의실",광주광역시 서구 금호2동 주민센터,회의실,법정 공휴일,16:00,18:00,09:00,18:00,N,,,,,40,268,"음향, 빔프로젝트, 냉난방, 조명","전화,방문",,광주광역시 서구 풍금로 135,금호2동주민센터,금호2동주민센터,062-350-4504,,35.1288650,126.8571913,2015-09-18
"광주광역시 서구 화정4동 주민센터 회의실",광주광역시 서구 화정4동 주민센터,회의실,"매주 토,일요일, 법정 공휴일",09:00,18:00,00:00,00:00,N,,,,,100,150,"음향, 빔프로젝트, 냉난방, 조명, 주차장","전화, 방문",,광주광역시 서구 염화로83번길 3,화정4동주민센터,화정4동주민센터,062-350-4443,,35.1418003,126.8737945,2015-09-18
"광주광역시 서구청 대회의실",광주광역시 서구청,회의실,"매주 토,일요일, 법정 공휴일",09:00,21:00,00:00,00:00,N,,,,,200,354,"단상, 의자, 빔프로젝트, 음향",방문,,광주광역시 서구 경열로 33,광주광역시 서구청,총무과,062-360-7396,,35.1529017,126.8906068,2015-09-18
"광주광역시 서구 치평동 주민센터 대회의실",광주광역시 서구 치평동 주민센터,회의실,"매주 토,일요일, 법정 공휴일",09:00,18:00,00:00,00:00,N,,,,,150,328,"음향, 냉난방, 조명, 주차장","전화, 방문",,광주광역시 서구 상무공원로 62,치평동주민센터,치평동주민센터,062-350-4335,,35.1499439,126.8433332,2015-09-18
"광주광역시 서구 청소년문화의집 프로그램실",광주광역시 서구 청소년문화의집,회의실,매주 월요일,10:00,21:00,10:00,18:00,N,,,,,40,58,"음향, 냉난방, 조명, 주차장","전화, 방문",,광주광역시 서구 상무공원로 62,광주광역시 서구청,청소년문화의집,062-372-1318,,35.1499439,126.8433332,2015-09-18
"광주광역시 서구 동천동 주민센터 프로그램실(지하)",광주광역시 서구 동천동 주민센터,회의실,"매주 토,일요일, 법정 공휴일",09:00,18:00,00:00,00:00,N,,,,,40,214,"음향, 냉난방, 조명","전화, 방문",,광주광역시 서구 유림로98번길 8,동천동주민센터,동천동주민센터,062-350-4605,,35.1710987,126.8667526,2015-09-18
"광주광역시 서구 동천동 주민센터 회의실",광주광역시 서구 동천동 주민센터,회의실,"매주 토,일요일, 법정 공휴일",09:00,18:00,00:00,00:00,N,,,,,50,136,"음향, 냉난방, 조명, 빔프로젝트","전화, 방문",,광주광역시 서구 유림로98번길 8,동천동주민센터,동천동주민센터,062-350-4605,,35.1710987,126.8667526,2015-09-18
"광주광역시 서구 동천동 주민센터 주민사랑방",광주광역시 서구 동천동 주민센터,회의실,"매주 토,일요일, 법정 공휴일",09:00,18:00,00:00,00:00,N,,,,,30,102,"음향, 냉난방, 조명, 빔프로젝트","전화, 방문",,광주광역시 서구 유림로98번길 8,동천동주민센터,동천동주민센터,062-350-4605,,35.1710987,126.8667526,2015-09-18
"광주광역시 서구 양3동 주민센터 회의실",광주광역시 서구 양3동 주민센터,회의실,"매주 토,일요일, 법정 공휴일",09:00,19:00,00:00,00:00,N,,,,,50,132,"음향, 냉난방, 탁자, 의자, 주차장","전화, 방문",,광주광역시 서구 상무대로1223번길 16,양3동주민센터,양3동주민센터,062-350-4224,,35.1573473,126.8941519,2016-02-10
"광주광역시 서구노인종합복지관 교육실1",광주광역시 서구노인종합복지관,회의실,없음,07:30,18:00,07:30,17:00,Y,,,,,35,50,"음향, 빔프로젝트, 냉난방, 조명, 주차장","전화, 방문",,광주광역시 서구 군분2로 55,광주광역시 서구청,서구노인종합복지관,062-365-9688,,35.1579270,126.8805144,2015-09-18
"광주광역시 서구노인종합복지관 교육실2",광주광역시 서구노인종합복지관,회의실,없음,07:30,18:00,07:30,17:00,Y,,,,,20,45,"음향, 빔프로젝트, 냉난방, 조명, 주차장","전화, 방문",,광주광역시 서구 군분2로 55,광주광역시 서구청,서구노인종합복지관,062-365-9688,,35.1579270,126.8805144,2015-09-18
"광주광역시 서구장애인복지관 다목적실",광주광역시 서구장애인복지관,회의실,"매주 토,일요일, 법정 공휴일",09:00,17:00,00:00,00:00,N,,,,,12,69,"탁구대, 냉난방","전화,방문",,광주광역시 서구 경열로 127,광주광역시 서구청,서구장애인복지관,062-710-3020,,35.1534097,126.8992571,2015-09-18
"광주광역시 서구 양동 주민센터 회의실",광주광역시 서구 양동 주민센터,회의실,"매주 토,일요일, 법정 공휴일",09:00,18:00,00:00,00:00,N,,,,,50,181,"음향, 냉난방, 조명, 빔프로젝트","전화, 방문",,광주광역시 서구 천변좌로222번길 3-2,양동주민센터,양동주민센터,062-350-4204,,35.1548234,126.9009853,2015-09-18
"광주광역시 서구 양동 현장민원실 주민자치 프로그램실",광주광역시 서구 양동 현장민원실,회의실,"매주 토,일요일, 법정 공휴일",09:00,18:00,00:00,00:00,N,,,,,50,165,"음향, 냉난방, 조명","전화, 방문",,광주광역시 서구 독립로200번길 7,양동주민센터,양동주민센터,062-350-4204,,35.1500470,126.9069605,2015-09-18
"광주광역시 서구 상무2동 주민센터 소회의실(2층)",광주광역시 서구 상무2동 주민센터,회의실,"매주 토,일요일, 법정 공휴일",09:00,18:00,00:00,00:00,N,,,,,30,80,"빔프로젝트, 냉난방, 의자, 책상","전화, 방문",,광주광역시 서구 화정로85번길 27,상무2동주민센터,상무2동주민센터,062-350-4364,,35.1469163,126.8665195,2016-02-10
"광주광역시 서구 상무2동 자생단체 통합사무실",광주광역시 서구 상무2동 주민센터,회의실,"매주 토,일요일, 법정 공휴일",09:00,18:00,00:00,00:00,N,,,,,10,24,없음,"전화, 방문",,광주광역시 서구 화정로85번길 27,상무2동주민센터,상무3동주민센터,062-350-4364,,35.1469163,126.8665195,2016-02-10
"광주광역시 서구 풍암동 주민센터 회의실(2층)",광주광역시 서구 풍암동 주민센터,회의실,"매주 토,일요일, 법정 공휴일",09:00,18:00,00:00,00:00,N,,,,,50,100,"음향, 빔프로젝트, 냉난방, 조명, 주차장","전화, 방문",,광주광역시 서구 풍암1로 27,풍암동주민센터,풍암동주민센터,062-350-4532,,35.1247336,126.8700000,2015-09-18
"광주광역시 서구 유덕동 주민센터 회의실",광주광역시 서구 유덕동 주민센터,회의실,"매주 토,일요일, 법정 공휴일",09:00,18:00,00:00,00:00,N,,,,,100,325,"음향, 빔프로젝트, 냉난방, 조명, 주차장","전화,방문",,광주광역시 서구 유덕로 24,유덕동주민센터,유덕동주민센터,062-350-4303,,35.1651326,126.8518138,2015-09-18
"광주광역시 남구청 회의실(6층)",광주광역시 남구청,회의실,"매주 토,일요일, 법정 공휴일",09:00,18:00,00:00,00:00,N,,,,,40,128,"책상, 의자, 냉난방, 조명, 주차장","전화, 방문",,광주광역시 남구 봉선로 1,광주광역시 남구청,총무과,062-607-2813,,35.1330916,126.9027323,2015-09-18
"광주광역시 남구 양림동 주민센터 회의실(3층)",광주광역시 남구 양림동 주민센터,회의실,"매주 토,일요일, 법정 공휴일",10:00,17:00,00:00,00:00,N,,,,,50,91,"음향, 냉난방, 조명, 주차장","전화, 방문",,광주광역시 남구 백서로 94,양림동주민센터,양림동주민센터,062-607-4510,,35.1405014,126.9163025,2016-02-20
"광주광역시 남구 방림1동 주민센터 회의실(지하)",광주광역시 남구 방림1동 주민센터,회의실,"매주 토,일요일, 법정 공휴일",10:00,17:00,00:00,00:00,N,,,,,50,121,회의실,"전화, 방문",,광주광역시 남구 오방로 101-2,방림1동주민센터,방림1동주민센터,062-607-4529,,35.1343466,126.9183141,2015-09-18
"광주광역시 남구 방림2동 주민센터 회의실(지하)",광주광역시 남구 방림2동 주민센터,회의실,"매주 토,일요일, 법정 공휴일",10:00,17:00,00:00,00:00,N,,,,,40,126,"음향, 냉난방, 조명, 테이블, 의자","전화, 방문",,광주광역시 남구 천변좌로566번다길 12,방림2동주민센터,방림2동주민센터,062-607-4553,,35.1319186,126.9219923,2015-09-18
"광주광역시 남구 봉선2동 주민센터 회의실(2층)",광주광역시 남구 봉선2동 주민센터,회의실,"매주 토,일요일, 법정 공휴일",10:00,17:00,00:00,00:00,N,,,,,100,125,"음향, 냉난방, 조명","방문, 전화",,광주광역시 남구 봉선중앙로26번길 10,봉선2동주민센터,봉선2동주민센터,062-607-4604,,35.1234454,126.9137933,2015-09-18
"광주광역시 남구 사직동 주민센터 회의실(2층)",광주광역시 남구 사직동 주민센터,회의실,"매주 토,일요일, 법정 공휴일",10:00,17:00,00:00,00:00,N,,,,,300,200,"음향, 냉난방, 조명","방문, 전화",,광주광역시 남구 중앙로95번길 14,사직동주민센터,사직동주민센터,062-607-4627,,35.1457499,126.9080440,2015-09-18
"광주광역시 북구 문흥2동 주민자치센터 회의실(주민사랑방)",광주광역시 북구 문흥2동 주민자치센터,회의실,"매주 토,일요일, 법정 공휴일",09:00,18:00,00:00,00:00,N,,,,,30,40,"책상, 의자, 냉난방, 주차장","방문, 전화",,광주광역시 북구 문산로 25,문흥2동주민센터,문흥2동주민센터,062-410-8754,,35.1843068,126.9219542,2015-09-18
"광주광역시 북구종합자원봉사센터 교육실",광주광역시 북구종합자원봉사센터,회의실,"매주 토,일요일, 법정 공휴일",09:00,18:00,00:00,00:00,Y,1,5000,1,5000,25,41,"냉난방, 책상, 의자, 화이트보드","방문, 전화",,광주광역시 북구 대천로 86,광주광역시 북구청,북구종합자원봉사센터,062-269-1365,,35.1842638,126.9172348,2015-09-18
"광주광역시 북구 석곡동 주민자치센터 다목적실",광주광역시 북구 석곡동 주민자치센터,회의실,"매주 토,일요일, 법정 공휴일",09:00,17:00,00:00,00:00,N,,,,,50,160,"음향, 빔프로젝트, 냉난방, 책상, 의자","전화, 방문",,광주광역시 북구 석곡로 634,석곡동주민센터,석곡동주민센터,062-410-8845,,35.2151415,126.9501004,2015-09-18
"광주광역시 북구 우산동 주민자치센터 다목적실",광주광역시 북구 우산동 주민자치센터,회의실,"매주 토,일요일, 법정 공휴일",09:00,17:00,00:00,00:00,N,,,,,30,98,"음향, 빔프로젝트, 냉난방, 책상, 의자","방문, 전화",,광주광역시 북구 동문대로69번길 21,우산동주민센터,우산동주민센터,062-410-8719,,35.1712430,126.9210355,2015-09-18
"광주광역시 남구 사직동 주민센터 다목적실(지하)",광주광역시 남구 사직동 주민센터,회의실,"매주 토,일요일, 법정 공휴일",10:00,17:00,00:00,00:00,N,,,,,200,200,"음향, 냉난방, 조명","방문, 전화",,광주광역시 남구 중앙로95번길 14,사직동주민센터,사직동주민센터,062-607-4627,,35.1457499,126.9080440,2015-09-18
"광주광역시 남구 월산동 주민센터 회의실",광주광역시 남구 월산동 주민센터,회의실,"매주 토,일요일, 법정 공휴일",09:00,18:00,00:00,00:00,N,,,,,30,158,"음향, 빔프로젝트, 영사기, TV, 냉난방, 조명","전화, 방문",,광주광역시 남구 덕림2길 3,월산동주민센터,월산동주민센터,062-607-4661,,35.1475642,126.9026325,2015-09-18
"광주광역시 남구 월산4동 주민센터 회의실(2층)",광주광역시 남구 월산4동 주민센터,회의실,"매주 토,일요일, 법정 공휴일",09:00,17:00,00:00,00:00,N,,,,,30,161,"음향, 빔프로젝트, 냉난방, 테이블, 의자","전화, 방문",,광주광역시 남구 대남대로390번길 11,월산4동주민센터,월산4동주민센터,062-607-4678,,35.1466602,126.8907606,2015-09-18
"광주광역시 남구 주월1동 주민센터 회의실(2층)",광주광역시 남구 주월1동 주민센터,회의실,"매주 토,일요일, 법정 공휴일",09:00,18:00,00:00,00:00,N,,,,,50,206,"음향, 냉난방, 의자, 주차장","전화, 방문",,광주광역시 남구 회서로21번가길 13,주월1동주민센터,주월1동주민센터,062-607-4778,,35.1319164,126.8933471,2015-09-18
"광주광역시 남구 주월2동 주민센터 회의실(2층)",광주광역시 남구 주월2동 주민센터,회의실,"매주 토,일요일, 법정 공휴일",10:00,17:00,00:00,00:00,N,,,,,120,174,"음향, 냉난방, 조명","방문, 전화",,광주광역시 남구 군분로13번길 12,주월2동주민센터,주월2동주민센터,062-607-4802,,35.1346723,126.8942721,2015-09-18
"광주광역시 남구 대촌동 주민센터 회의실",광주광역시 남구 대촌동 주민센터,회의실,"매주 토,일요일, 법정 공휴일",13:00,17:00,00:00,00:00,N,,,,,40,128,"음향, 냉난방, 조명","전화, 방문",,광주광역시 남구 포충로 591,대촌동주민센터,대촌동주민센터,062-607-4879,,35.0814092,126.8340301,2015-09-18
"광주광역시 누리봄 커뮤니티센터 회의실",광주광역시 누리봄 커뮤니티센터,회의실,"매주 토,일요일, 법정 공휴일",09:00,18:00,00:00,00:00,N,,,,,30,139,"음향, 냉난방, 조명, 빔프로젝트","전화, 방문",,"광주광역시 북구 금녕길61번길 2, 2층",광주광역시 북구청,두암2동주민센터,062-410-8779,,35.1746594,126.9306148,2015-09-18
"광주광역시 북구 문화동 주민자치센터 회의실",광주광역시 북구 문화동 주민자치센터,회의실,"매주 토,일요일, 법정 공휴일",09:00,18:00,00:00,00:00,N,,,,,40,59,"책상, 의자, 냉난방, 주차장",방문,,광주광역시 북구 군왕로 233,문화동주민센터,문화동주민센터,062-410-8734,,35.1814388,126.9368696,2015-09-18
"광주광역시 북구 문흥1동 주민자치센터 다목적실(2층)",광주광역시 북구 문흥1동 주민자치센터,회의실,"매주 토,일요일, 법정 공휴일",09:00,18:00,00:00,00:00,N,,,,,50,86,"음향, 테이블, 의자, 냉난방","방문, 전화",,광주광역시 북구 대천로 140-3,문흥1동주민센터,문흥1동주민센터,062-410-8744,,35.1868905,126.9216917,2015-09-18
"광주광역시 북구 문흥1동 주민자치센터 회의실(2층)",광주광역시 북구 문흥1동 주민자치센터,회의실,"매주 토,일요일, 법정 공휴일",09:00,18:00,00:00,00:00,N,,,,,10,27,"음향, 테이블, 의자, 냉난방","방문, 전화",,광주광역시 북구 대천로 140-3,문흥1동주민센터,문흥1동주민센터,062-410-8744,,35.1868905,126.9216917,2015-09-18
"광주광역시 북구 문흥1동 주민자치센터 프로그램실(지하)",광주광역시 북구 문흥1동 주민자치센터,회의실,"매주 토,일요일, 법정 공휴일",09:00,18:00,00:00,00:00,N,,,,,80,170,"음향, 냉난방","방문, 전화",,광주광역시 북구 대천로 140-3,문흥1동주민센터,문흥1동주민센터,062-410-8744,,35.1868905,126.9216917,2015-09-18
"광주광역시 북구 문흥2동 주민자치센터 강의실(취미교양실)",광주광역시 북구 문흥2동 주민자치센터,회의실,"매주 토,일요일, 법정 공휴일",09:00,18:00,00:00,00:00,N,,,,,20,30,"책상, 의자, 냉난방, 주차장","방문, 전화",,광주광역시 북구 문산로 25,문흥2동주민센터,문흥2동주민센터,062-410-8754,,35.1843068,126.9219542,2015-09-18
"광주광역시 북구 임동 안심사랑방",광주광역시 북구 임동 안심사랑방,회의실,없음,18:00,20:00,18:00,20:00,N,,,,,30,70,"음향, 빔프로젝트, 냉난방, 책상, 의자","방문, 전화",,광주광역시 북구 자동차로47번길 50,임동 안심사랑방,임동 안심사랑방,062-410-8649,,35.1641206,126.8988350,2015-09-18
"광주광역시 북구 임동 주민자치센터 다목적실",광주광역시 북구 임동 주민자치센터,회의실,"매주 토,일요일, 법정 공휴일",09:00,18:00,00:00,00:00,N,,,,,30,98,"음향, 빔프로젝트, 냉난방, 조명","방문, 전화",,광주광역시 북구 서림로 53,임동주민센터,임동주민센터,062-410-8649,,35.1658196,126.8942743,2015-09-18
